id,cnpj,endereco,estado,lat,lon,municipio,nome,cidade,bairro,cep,numero,fonte_coordenada
19501,13.567.147/0002-90,ESTRADA DA VARIANTE,AC,-7.6454981,-72.6632635,,S & G PETROLEO LTDA,CRUZEIRO DO SUL,MIRITIZAL,69980-000,210,Manual
16356,01.492.748/0003-83,AVENIDA COPACABANA,AC,-7.625428199999991,-72.6765781,,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,CRUZEIRO DO SUL,COPACABANA,69980-000,440,MANUAL
16575,40.783.285/0001-07,AVENIDA CORONEL MANCIO LIMA,AC,-7.5983863,-72.7734223,,REDE COMERCIO DE PETROLEO LTDA,CRUZEIRO DO SUL,CENTRO,69980-000,SN,Manual
19031,14.756.385/0001-26,AVENIDA GETULIO VARGAS,AC,-9.962420999999997,-67.8154253,,AUTO POSTO GURGEL COMERCIO E DERIVADOS DE PETROLEO LTDA,RIO BRANCO,BOSQUE,69900-610,1743,MANUAL
18427,36.158.810/0001-18,VIA VERDE,AC,-10.0221571,-67.8171743,,AUTO POSTO VIA VERDE LTDA,RIO BRANCO,PRAIA DO AMAPA,69906-644,3120,Manual
15380,00.524.999/0001-78,RODOVIA AC 40,AC,-10.02815749999999,-67.79861660000002,,AUTO POSTO ACAUAN LTDA,RIO BRANCO,VILA ACRE,69902-450,1800,MANUAL
16143,06.321.359/0001-47,AVENIDA NACOES UNIDAS,AC,-9.966000500000003,-67.825732,,AUTO POSTO CIDADE LTDA,RIO BRANCO,7 BEC,69918-093,2123,MANUAL
19612,08.220.930/0001-62,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,AC,-9.971012599999998,-67.85205090000001,,CODEPE COMBUSTIVEIS LTDA,RIO BRANCO,PORTAL DA AMAZONIA,69915-630,2755,MANUAL
18305,06.003.183/0001-85,ESTRADA DA FLORESTA,AC,-9.993127600000005,-67.8486358,,AUTO POSTO CASTANHEIRA LTDA.,RIO BRANCO,FLORESTA,69906-380,S/N,MANUAL
19822,04.087.649/0001-42,RUA 03,AC,-9.942369899999994,-67.87267659999999,,AUTO POSTO DISTRITO LTDA.,RIO BRANCO,DISTRITO INDUSTRIAL,69917-100,S/N,MANUAL
16628,00.529.581/0001-53,VIA CHICO MENDES,AC,-10.0072523,-67.802777,,AUTO POSTO AMAPA LTDA,RIO BRANCO,AREAL,69906-119,3570,MANUAL
14010,34.213.732/0001-81,RUA VALDOMIRO LOPES,AC,-9.95227560000001,-67.83134000000001,,AJS DERIVADOS DE PETROLEO LTDA,RIO BRANCO,CONQUISTA,69918-764,793,MANUAL
17941,33.746.960/0002-35,RUA RIO DE JANEIRO,AC,-9.973477099999995,-67.82585469999998,,DANTAS & DANTAS LTDA,RIO BRANCO,IVETE VARGAS,69900-214,1215,MANUAL
14656,07.466.381/0001-48,AVENIDA GOVERNADOR EDMUNDO PINTO,AC,-9.9483589,-67.8489443,,JOAFRA - AUTO POSTO LTDA,RIO BRANCO,CONJUNTO RUI LINO,69919-850,1502,Manual
16055,14.412.076/0001-39,RUA ISAURA PARENTE,AC,-9.963451200000005,-67.84214429999999,,AUTO POSTO SANTO ANTONIO LTDA,RIO BRANCO,EST EXPERIMENTAL,69908-210,3265,MANUAL
15492,34.405.715/0001-46,RUA DOM JONAS BATINGA,AL,-9.759431999999997,-36.6570864,,MARINHO COMBUSTIVEIS EIRELI,ARAPIRACA,OURO PRETO,57301-130,5,MANUAL
18831,21.909.741/0001-60,RUA DELMIRO GOUVEIA,AL,-9.7424265,-36.6589602,,COMERCIO DE COMBUSTIVEIS BOSQUE DAS ARAPIRACAS LTDA,ARAPIRACA,SENADOR TEOTONIO VILELA,57311-565,1382,Manual
18560,01.242.690/0001-58,RODOVIA AL-110,AL,-9.771919399999994,-36.62558690000001,,IBN PINTO E SILVA & CIA LTDA,ARAPIRACA,CANAFISTULA,57302-802,678,MANUAL
16457,12.396.339/0001-38,RUA QUINZE DE NOVEMBRO,AL,-9.754743499999998,-36.6555622,,DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA,ARAPIRACA,BRASILIA,57313-015,451,MANUAL
18956,23.800.197/0001-49,RUA DOM JONAS BATINGA,AL,-9.764566199999983,-36.6558129,,AUTO POSTO CIDADE LTDA,ARAPIRACA,SAO LUIZ II,57301-714,650,MANUAL
18609,12.451.076/0005-46,RUA SAO JOAO,AL,-9.7419876,-36.6548256,,POSTO ARAPIRACA LTDA,ARAPIRACA,ALTO DO CRUZEIRO,57312-265,581,Manual
17929,07.248.398/0001-29,RODOVIA AL 220,AL,-9.72716080000001,-36.66942520000001,,AUTO POSTO MASSARANDUBA LTDA,ARAPIRACA,PLANALTO,57308-000,4698,MANUAL
18995,40.921.967/0001-20,RODOVIA AL 220,AL,-9.7631592,-36.5893342,,RODO CENTER AUTO POSTO LTDA,ARAPIRACA,JARDIM ESPERANCA,57304-820,SN,Manual
16197,13.460.056/0001-70,RUA EXPEDICIONARIO BRASILEIRO,AL,-9.736445400000015,-36.67407270000001,,AUTO POSTO PREMIUM LTDA,ARAPIRACA,CAVACO,57306-415,1747,MANUAL
18754,28.256.951/0001-45,AVENIDA JOAO CRISOSTOMO RAMALHO,AL,-9.757083599999994,-36.63941879999998,,AUTO POSTO CANAFISTULA LTDA,ARAPIRACA,JARDIM TROPICAL,57316-110,1204,MANUAL
15258,24.313.645/0001-42,AVENIDA ANTONIO SERMEAO L FILHO,AL,-9.759007999999987,-36.6410952,,POSTO E HOTEL DI'VAN LTDA,ARAPIRACA,JARDIM TROPICAL,57304-820,406,MANUAL
17867,12.451.076/0006-27,PRACA  JOAO PEDRO DE ARAGAO,AL,-9.762857400000001,-36.66089859999999,,POSTO ARAPIRACA LTDA,ARAPIRACA,PRIMAVERA,57304-450,495,MANUAL
14182,08.461.170/0001-85,RUA QUINZE DE NOVEMBRO,AL,-9.75544840000001,-36.65519860000001,,POSTO ATLANTIC CONFIANCA LTDA,ARAPIRACA,CENTRO,57300-340,470,MANUAL
16298,08.738.994/0001-50,RODOVIA AL-220,AL,-9.724236700000015,-36.679165,,AUTO POSTO M M GARROTE LTDA,ARAPIRACA,BOM SUCESSO,57309-035,5848,MANUAL
