Column1;Column2;Column3;Column4;Column5
01.492.748/0003-83;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA;AVENIDA COPACABANA,440,COPACABANA,CRUZEIRO DO SUL,AC,BRAZIL;-7.625428199999991;-72.6765781
04.087.649/0001-42;AUTO POSTO DISTRITO LTDA.;RUA 03,S/N,DISTRITO INDUSTRIAL,RIO BRANCO,AC,BRAZIL;-9.942369899999994;-67.87267659999999
06.321.359/0001-47;AUTO POSTO CIDADE LTDA;AVENIDA NACOES UNIDAS,2123,7 BEC,RIO BRANCO,AC,BRAZIL;-9.966000500000003;-67.825732
14.756.385/0001-26;AUTO POSTO GURGEL COMERCIO E DERIVADOS DE PETROLEO LTDA;AVENIDA GETULIO VARGAS,1743,BOSQUE,RIO BRANCO,AC,BRAZIL;-9.962420999999997;-67.8154253
14.412.076/0001-39;AUTO POSTO SANTO ANTONIO LTDA;RUA ISAURA PARENTE,3265,EST EXPERIMENTAL,RIO BRANCO,AC,BRAZIL;-9.963451200000005;-67.84214429999999
06.003.183/0001-85;AUTO POSTO CASTANHEIRA LTDA.;ESTRADA DA FLORESTA,S/N,FLORESTA,RIO BRANCO,AC,BRAZIL;-9.993127600000005;-67.8486358
00.524.999/0001-78;AUTO POSTO ACAUAN LTDA;RODOVIA AC 40,1800,VILA ACRE,RIO BRANCO,AC,BRAZIL;-10.02815749999999;-67.79861660000002
34.213.732/0001-81;AJS DERIVADOS DE PETROLEO LTDA;RUA VALDOMIRO LOPES,793,CONQUISTA,RIO BRANCO,AC,BRAZIL;-9.95227560000001;-67.83134000000001
08.220.930/0001-62;CODEPE COMBUSTIVEIS LTDA;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,PORTAL DA AMAZONIA,RIO BRANCO,AC,BRAZIL;-9.971012599999998;-67.85205090000001
33.746.960/0002-35;DANTAS & DANTAS LTDA;RUA RIO DE JANEIRO,1215,IVETE VARGAS,RIO BRANCO,AC,BRAZIL;-9.973477099999995;-67.82585469999998
00.529.581/0001-53;AUTO POSTO AMAPA LTDA;VIA CHICO MENDES,3570,AREAL,RIO BRANCO,AC,BRAZIL;-10.0072523;-67.802777
13.460.056/0001-70;AUTO POSTO PREMIUM LTDA;RUA EXPEDICIONARIO BRASILEIRO,1747,CAVACO,ARAPIRACA,AL,BRAZIL;-9.736445400000015;-36.67407270000001
23.800.197/0001-49;AUTO POSTO CIDADE LTDA;RUA DOM JONAS BATINGA,650,SAO LUIZ II,ARAPIRACA,AL,BRAZIL;-9.764566199999983;-36.6558129
12.451.076/0006-27;POSTO ARAPIRACA LTDA;PRACA  JOAO PEDRO DE ARAGAO,495,PRIMAVERA,ARAPIRACA,AL,BRAZIL;-9.762857400000001;-36.66089859999999
07.248.398/0001-29;AUTO POSTO MASSARANDUBA LTDA;RODOVIA AL 220,4698,PLANALTO,ARAPIRACA,AL,BRAZIL;-9.72716080000001;-36.66942520000001
24.313.645/0001-42;POSTO E HOTEL DI'VAN LTDA;AVENIDA ANTONIO SERMEAO L FILHO,406,JARDIM TROPICAL,ARAPIRACA,AL,BRAZIL;-9.759007999999987;-36.6410952
08.461.170/0001-85;POSTO ATLANTIC CONFIANCA LTDA;RUA QUINZE DE NOVEMBRO,470,CENTRO,ARAPIRACA,AL,BRAZIL;-9.75544840000001;-36.65519860000001
12.396.339/0001-38;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA;RUA QUINZE DE NOVEMBRO,451,BRASILIA,ARAPIRACA,AL,BRAZIL;-9.754743499999998;-36.6555622
01.242.690/0001-58;IBN PINTO E SILVA & CIA LTDA;RODOVIA AL-110,678,CANAFISTULA,ARAPIRACA,AL,BRAZIL;-9.771919399999994;-36.62558690000001
28.256.951/0001-45;AUTO POSTO CANAFISTULA LTDA;AVENIDA JOAO CRISOSTOMO RAMALHO,1204,JARDIM TROPICAL,ARAPIRACA,AL,BRAZIL;-9.757083599999994;-36.63941879999998
08.738.994/0001-50;AUTO POSTO M M GARROTE LTDA;RODOVIA AL-220,5848,BOM SUCESSO,ARAPIRACA,AL,BRAZIL;-9.724236700000015;-36.679165
16.527.263/0001-93;AUTO POSTO ACQUA BOOL LTDA;RODOVIA AL 220,4736,BOM SUCESSO,ARAPIRACA,AL,BRAZIL;-9.727053500000004;-36.66985950000001
34.405.715/0001-46;MARINHO COMBUSTIVEIS EIRELI;RUA DOM JONAS BATINGA,5,OURO PRETO,ARAPIRACA,AL,BRAZIL;-9.759431999999997;-36.6570864
10.427.868/0001-26;LOURENCO ARAUJO FORTES E FILHOS LTDA;AVENIDA CAXANGA,623,PEDRA VELHA,DELMIRO GOUVEIA,AL,BRAZIL;-9.385934999999996;-37.98667639999999
12.436.978/0001-80;AUTO POSTO FREITAS & MAIA LTDA;RUA FLORIANO PEIXOTO,247,CENTRO,DELMIRO GOUVEIA,AL,BRAZIL;-9.380152899999981;-37.99713430000001
05.518.639/0001-87;AUTO POSTO DA PEDRA LTDA;RUA FLORIANO PEIXOTO,281,CENTRO,DELMIRO GOUVEIA,AL,BRAZIL;-9.379676799999997;-37.99671190000001
05.518.639/0003-49;AUTO POSTO DA PEDRA LTDA;RUA FREITAS CAVALCANTE,10,CENTRO,DELMIRO GOUVEIA,AL,BRAZIL;-9.3831331;-38.00085050000001
45.685.725/0001-07;AUTO POSTO NOSSA SRA DO ROSARIO LTDA;RUA FLORIANO PEIXOTO,445,CENTRO,DELMIRO GOUVEIA,AL,BRAZIL;-9.377334300000001;-37.99616800000001
17.348.259/0001-20;POSTO ALINE LTDA;RODOVIA AL 145,SN,CIDADE UNIVERSITARIA,DELMIRO GOUVEIA,AL,BRAZIL;-9.350328100000011;-37.9877454
04.431.113/0001-00;COMERCIO DE COMBUSTIVEIS NENZITA LTDA;AVENIDA CAXANGA,126,PEDRA VELHA,DELMIRO GOUVEIA,AL,BRAZIL;-9.385934999999996;-37.98667639999999
05.518.639/0004-20;AUTO POSTO DA PEDRA LTDA;RUA BENEDITO LISBOA,108,CENTRO,DELMIRO GOUVEIA,AL,BRAZIL;-9.388140399999997;-37.99856199999999
17.348.259/0002-01;POSTO ALINE LTDA;AVENIDA ANTONIO JOSE DA COSTA,59,CENTRO,DELMIRO GOUVEIA,AL,BRAZIL;-9.380425199999989;-38.00443690000001
05.518.639/0002-68;AUTO POSTO DA PEDRA LTDA;RUA HELENO PEREIRA PINTO,31,CAMPO GRANDE,DELMIRO GOUVEIA,AL,BRAZIL;-9.369838500000021;-37.99833239999997
11.290.005/0001-12;MAXI POSTO V LTDA;AVENIDA FERNANDES LIMA,1579,PINHEIRO,MACEIO,AL,BRAZIL;-9.63708049999999;-35.7363833
04.532.551/0001-57;POSTO GURI LTDA;AVENIDA MENINO MARCELO,4641,SERRARIA,MACEIO,AL,BRAZIL;-9.590135799999981;-35.7280902
07.694.838/0001-71;POSTO JARAGUA LTDA;RUA SA E ALBUQUERQUE,844,JARAGUA,MACEIO,AL,BRAZIL;-9.670287500000008;-35.72674699999999
01.242.690/0003-10;IBN PINTO E SILVA & CIA LTDA;AVENIDA CORONEL SALUSTIANO SARMENTO,425,SAO JORGE,MACEIO,AL,BRAZIL;-9.62029269999999;-35.70976289999998
